frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
853,0,1,2:931:365:348:245:0.8748,1,52:2:931:365:348:245,-1,NONE,inf
854,0,1,2:938:365:341:234:0.8315,1,52:2:938:365:341:234,-1,NONE,inf
855,0,1,2:944:362:335:249:0.7531,1,52:2:944:362:335:249,-1,NONE,inf
856,0,1,2:953:361:326:250:0.7848,1,52:2:953:361:326:250,-1,NONE,inf
857,0,1,2:961:361:318:234:0.6073,1,52:2:961:361:318:234,-1,NONE,inf
858,0,1,2:970:361:309:240:0.7195,1,52:2:970:361:309:240,-1,NONE,inf
859,0,1,2:980:359:299:233:0.8395,1,52:2:980:359:299:233,-1,NONE,inf
860,0,1,2:991:358:288:236:0.7842,1,52:2:991:358:288:236,-1,NONE,inf
861,0,1,2:1001:356:278:240:0.8409,1,52:2:1001:356:278:240,-1,NONE,inf
862,0,1,2:1011:357:268:243:0.7591,1,52:2:1011:357:268:243,-1,NONE,inf
863,0,1,2:1021:360:258:237:0.7423,1,52:2:1021:360:258:237,-1,NONE,inf
864,0,1,2:1033:363:246:265:0.8494,1,52:2:1033:363:246:265,-1,NONE,inf
865,0,1,2:1046:367:233:257:0.8497,1,52:2:1046:367:233:257,-1,NONE,inf
866,0,1,2:1060:372:219:243:0.8456,1,52:2:1060:372:219:243,-1,NONE,inf
867,0,1,2:1077:384:202:212:0.7622,1,52:2:1077:384:202:212,-1,NONE,inf
868,0,1,2:1091:397:188:198:0.8023,1,52:2:1091:397:188:198,-1,NONE,inf
869,0,1,2:1107:410:172:190:0.7313,1,52:2:1107:410:172:190,-1,NONE,inf
870,0,1,2:1123:423:156:175:0.6083,1,52:2:1123:423:156:175,-1,NONE,inf
871,0,1,2:1143:443:136:186:0.4592,1,52:2:1143:443:136:186,-1,NONE,inf
872,0,1,2:1162:458:117:139:0.6179,1,52:2:1162:458:117:139,-1,NONE,inf
873,0,1,2:1185:472:94:133:0.5971,1,52:2:1185:472:94:133,-1,NONE,inf
874,0,0,,0,,-1,NONE,inf
875,0,1,0:1233:498:46:134:0.1360,0,,-1,NONE,inf
876,0,0,,0,,-1,NONE,inf
877,0,0,,0,,-1,NONE,inf
878,0,0,,0,,-1,NONE,inf
879,0,0,,0,,-1,NONE,inf
880,0,0,,0,,-1,NONE,inf
881,0,0,,0,,-1,NONE,inf
882,0,0,,0,,-1,NONE,inf
883,0,0,,0,,-1,NONE,inf
884,0,0,,0,,-1,NONE,inf
885,0,0,,0,,-1,NONE,inf
886,0,0,,0,,-1,NONE,inf
887,0,0,,0,,-1,NONE,inf
888,0,0,,0,,-1,NONE,inf
889,0,0,,0,,-1,NONE,inf
890,0,0,,0,,-1,NONE,inf
891,0,0,,0,,-1,NONE,inf
892,0,0,,0,,-1,NONE,inf
893,0,0,,0,,-1,NONE,inf
894,0,0,,0,,-1,NONE,inf
895,0,0,,0,,-1,NONE,inf
896,0,0,,0,,-1,NONE,inf
897,0,0,,0,,-1,NONE,inf
898,0,0,,0,,-1,NONE,inf
899,0,0,,0,,-1,NONE,inf
900,0,0,,0,,-1,NONE,inf
901,0,0,,0,,-1,NONE,inf
902,0,0,,0,,-1,NONE,inf
903,0,0,,0,,-1,NONE,inf
904,0,0,,0,,-1,NONE,inf
905,0,0,,0,,-1,NONE,inf
906,0,0,,0,,-1,NONE,inf
907,0,0,,0,,-1,NONE,inf
908,0,0,,0,,-1,NONE,inf
909,0,0,,0,,-1,NONE,inf
910,0,0,,0,,-1,NONE,inf
911,0,0,,0,,-1,NONE,inf
912,0,0,,0,,-1,NONE,inf
913,0,0,,0,,-1,NONE,inf
914,0,0,,0,,-1,NONE,inf
915,0,0,,0,,-1,NONE,inf
916,0,0,,0,,-1,NONE,inf
917,0,0,,0,,-1,NONE,inf
918,0,0,,0,,-1,NONE,inf
919,0,0,,0,,-1,NONE,inf
920,0,0,,0,,-1,NONE,inf
921,0,0,,0,,-1,NONE,inf
922,0,0,,0,,-1,NONE,inf
923,0,0,,0,,-1,NONE,inf
924,0,0,,0,,-1,NONE,inf
925,0,0,,0,,-1,NONE,inf
926,0,0,,0,,-1,NONE,inf
927,0,0,,0,,-1,NONE,inf
928,0,0,,0,,-1,NONE,inf
929,0,0,,0,,-1,NONE,inf
930,0,0,,0,,-1,NONE,inf
931,0,0,,0,,-1,NONE,inf
932,0,0,,0,,-1,NONE,inf
933,0,0,,0,,-1,NONE,inf
934,0,0,,0,,-1,NONE,inf
935,0,0,,0,,-1,NONE,inf
936,0,0,,0,,-1,NONE,inf
937,0,0,,0,,-1,NONE,inf
938,0,1,7:818:338:61:66:0.2441,0,,-1,NONE,inf
939,0,0,,0,,-1,NONE,inf
940,0,0,,0,,-1,NONE,inf
941,0,0,,0,,-1,NONE,inf
942,0,0,,0,,-1,NONE,inf
943,0,0,,0,,-1,NONE,inf
944,0,0,,0,,-1,NONE,inf
945,0,1,7:852:324:74:77:0.3045,0,,-1,NONE,inf
946,0,0,,0,,-1,NONE,inf
947,0,0,,0,,-1,NONE,inf
948,0,0,,0,,-1,NONE,inf
949,0,0,,0,,-1,NONE,inf
950,0,0,,0,,-1,NONE,inf
951,0,0,,0,,-1,NONE,inf
952,0,0,,0,,-1,NONE,inf
953,0,0,,0,,-1,NONE,inf
954,0,0,,0,,-1,NONE,inf
955,0,0,,0,,-1,NONE,inf
956,0,0,,0,,-1,NONE,inf
957,0,0,,0,,-1,NONE,inf
958,0,0,,0,,-1,NONE,inf
959,0,0,,0,,-1,NONE,inf
960,0,0,,0,,-1,NONE,inf
961,0,0,,0,,-1,NONE,inf
962,0,0,,0,,-1,NONE,inf
963,0,1,7:1034:248:147:146:0.1352,0,,-1,NONE,inf
964,0,0,,0,,-1,NONE,inf
965,0,1,7:1073:230:167:191:0.2292,0,,-1,NONE,inf
966,0,1,7:1094:224:179:196:0.2198,0,,-1,NONE,inf
967,0,0,,0,,-1,NONE,inf
968,0,0,,0,,-1,NONE,inf
969,0,1,7:1172:194:107:284:0.4828,0,,-1,NONE,inf
970,0,1,7:1202:186:77:290:0.4254,0,,-1,NONE,inf
971,0,0,,0,,-1,NONE,inf
972,0,0,,0,,-1,NONE,inf
973,0,0,,0,,-1,NONE,inf
974,0,0,,0,,-1,NONE,inf
975,0,0,,0,,-1,NONE,inf
976,0,0,,0,,-1,NONE,inf
977,0,0,,0,,-1,NONE,inf
978,0,0,,0,,-1,NONE,inf
979,0,0,,0,,-1,NONE,inf
980,0,0,,0,,-1,NONE,inf
981,0,0,,0,,-1,NONE,inf
982,0,0,,0,,-1,NONE,inf
983,0,0,,0,,-1,NONE,inf
984,0,0,,0,,-1,NONE,inf
985,0,0,,0,,-1,NONE,inf
986,0,0,,0,,-1,NONE,inf
987,0,0,,0,,-1,NONE,inf
988,0,0,,0,,-1,NONE,inf
989,0,0,,0,,-1,NONE,inf
990,0,0,,0,,-1,NONE,inf
991,0,0,,0,,-1,NONE,inf
992,0,0,,0,,-1,NONE,inf
993,0,0,,0,,-1,NONE,inf
994,0,0,,0,,-1,NONE,inf
995,0,0,,0,,-1,NONE,inf
996,0,0,,0,,-1,NONE,inf
997,0,0,,0,,-1,NONE,inf
998,0,0,,0,,-1,NONE,inf
999,0,0,,0,,-1,NONE,inf
1000,0,0,,0,,-1,NONE,inf
1001,0,0,,0,,-1,NONE,inf
1002,0,0,,0,,-1,NONE,inf
1003,0,0,,0,,-1,NONE,inf
1004,0,0,,0,,-1,NONE,inf
1005,0,0,,0,,-1,NONE,inf
1006,0,0,,0,,-1,NONE,inf
1007,0,0,,0,,-1,NONE,inf
1008,0,0,,0,,-1,NONE,inf
1009,0,0,,0,,-1,NONE,inf
1010,0,0,,0,,-1,NONE,inf
1011,1,4,7:363:393:99:72:0.5770;7:527:383:100:81:0.6068;7:740:389:71:47:0.1402;7:793:427:223:63:0.3755,0,,-1,NONE,inf
1012,0,3,7:364:393:99:73:0.5329;7:528:382:101:83:0.8887;7:785:427:242:62:0.2559,0,,-1,NONE,inf
1013,0,4,7:365:391:100:75:0.6360;7:528:381:102:83:0.8375;7:804:426:235:63:0.3698;7:913:374:189:104:0.1130,3,53:7:528:381:102:83;54:7:365:391:100:75;55:7:804:426:235:63,-1,NONE,inf
1014,0,4,5:913:371:198:112:0.1196;7:365:391:101:75:0.6687;7:531:380:103:84:0.8872;7:817:427:232:63:0.2430,3,53:7:531:380:103:84;54:7:365:391:101:75;55:7:817:427:232:63,-1,NONE,inf
