frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
335,0,1,2:535:453:45:33:0.6949,1,38:2:535:453:45:33,-1,NONE,inf
336,0,1,2:534:453:44:33:0.6240,1,38:2:534:453:44:33,-1,NONE,inf
337,0,1,2:533:453:44:32:0.5958,1,38:2:533:453:44:32,-1,NONE,inf
338,0,1,2:532:453:44:32:0.6480,1,38:2:532:453:44:32,-1,NONE,inf
339,0,1,2:533:453:42:32:0.7156,1,38:2:533:453:42:32,38,SAFE,inf
340,0,1,2:533:453:42:32:0.7385,1,38:2:533:453:42:32,38,SAFE,inf
341,0,1,2:532:453:42:32:0.7179,1,38:2:532:453:42:32,38,SAFE,inf
342,0,1,2:532:453:42:32:0.6840,1,38:2:532:453:42:32,38,SAFE,inf
343,0,1,2:532:453:42:32:0.7350,1,38:2:532:453:42:32,38,SAFE,inf
344,0,1,2:532:453:41:32:0.7485,1,38:2:532:453:41:32,38,SAFE,inf
345,0,1,2:532:454:41:31:0.7108,1,38:2:532:454:41:31,38,SAFE,inf
346,0,1,2:532:454:42:32:0.6700,1,38:2:532:454:42:32,38,SAFE,inf
347,0,1,2:532:453:41:32:0.6647,1,38:2:532:453:41:32,38,SAFE,inf
348,0,1,2:532:454:41:31:0.6506,1,38:2:532:454:41:31,38,SAFE,inf
349,0,1,2:533:454:40:31:0.6896,1,38:2:533:454:40:31,38,SAFE,inf
350,0,1,2:533:453:40:31:0.7514,1,38:2:533:453:40:31,38,SAFE,inf
351,0,1,2:533:453:40:31:0.7771,1,38:2:533:453:40:31,38,SAFE,inf
352,0,2,2:533:453:40:31:0.7845;7:320:420:130:48:0.2628,1,38:2:533:453:40:31,38,SAFE,inf
353,0,1,2:533:453:41:31:0.8517,1,38:2:533:453:41:31,38,SAFE,inf
354,0,1,2:533:453:41:30:0.8805,1,38:2:533:453:41:30,38,SAFE,inf
355,0,2,2:533:453:42:30:0.8878;5:626:427:108:45:0.3731,1,38:2:533:453:42:30,38,SAFE,inf
356,0,1,2:534:453:41:30:0.8783,1,38:2:534:453:41:30,38,SAFE,inf
357,0,1,2:534:453:41:30:0.8894,1,38:2:534:453:41:30,38,SAFE,inf
358,0,1,2:535:453:41:30:0.8954,1,38:2:535:453:41:30,38,SAFE,inf
359,0,1,2:535:453:40:30:0.8829,1,38:2:535:453:40:30,38,SAFE,inf
360,0,1,2:537:453:39:30:0.8457,1,38:2:537:453:39:30,38,SAFE,inf
361,0,2,2:537:452:38:31:0.8225;7:628:427:112:44:0.2129,1,38:2:537:452:38:31,38,SAFE,inf
362,0,1,2:537:452:39:30:0.7880,1,38:2:537:452:39:30,38,SAFE,inf
363,0,1,2:538:451:39:30:0.7630,1,38:2:538:451:39:30,38,SAFE,inf
364,0,1,2:539:452:38:29:0.7661,1,38:2:539:452:38:29,38,SAFE,inf
365,0,1,2:539:452:38:29:0.7534,1,38:2:539:452:38:29,38,SAFE,inf
366,0,2,2:540:451:38:30:0.7732;7:629:425:118:46:0.2227,1,38:2:540:451:38:30,38,SAFE,inf
367,0,1,2:540:451:39:30:0.7978,1,38:2:540:451:39:30,38,SAFE,inf
368,0,1,2:541:451:38:30:0.8188,1,38:2:541:451:38:30,38,SAFE,inf
369,0,2,2:541:452:38:28:0.7863;7:622:423:128:45:0.1028,1,38:2:541:452:38:28,38,SAFE,inf
370,0,1,2:541:452:38:28:0.7875,1,38:2:541:452:38:28,38,SAFE,inf
371,0,1,2:542:452:37:28:0.7674,1,38:2:542:452:37:28,38,SAFE,inf
372,0,1,2:542:451:37:29:0.7794,1,38:2:542:451:37:29,38,SAFE,inf
373,0,1,2:542:451:38:29:0.7981,1,38:2:542:451:38:29,38,SAFE,inf
374,0,2,2:543:451:37:29:0.8381;7:1019:364:260:152:0.2657,1,38:2:543:451:37:29,38,SAFE,inf
