frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
470,0,3,2:542:452:33:25:0.8010;7:320:402:47:64:0.2314;7:653:361:306:136:0.7570,2,38:2:542:452:33:25;40:7:653:361:306:136,38,SAFE,inf
471,0,4,2:542:452:33:26:0.7943;5:654:338:525:166:0.5960;7:320:403:45:63:0.2643;7:1182:378:97:110:0.3325,3,38:2:542:452:33:26;40:5:654:338:525:166;42:7:320:403:45:63,38,SAFE,29.776
472,0,4,2:543:452:33:25:0.8062;7:320:404:44:62:0.2734;7:656:357:303:141:0.8340;7:1194:378:85:109:0.3381,3,38:2:543:452:33:25;40:7:656:357:303:141;42:7:320:404:44:62,38,SAFE,47.641
473,0,3,2:543:452:33:25:0.7969;7:659:353:300:147:0.8303;7:1206:376:73:112:0.1962,2,38:2:543:452:33:25;40:7:659:353:300:147,38,SAFE,inf
474,0,5,2:511:447:18:17:0.2295;2:544:452:32:25:0.7688;7:320:402:43:65:0.2463;7:661:352:298:150:0.7988;7:1219:373:60:115:0.2108,2,38:2:544:452:32:25;40:7:661:352:298:150,38,SAFE,inf
475,0,4,2:511:447:18:17:0.2424;2:545:452:32:26:0.7524;7:320:402:43:65:0.3346;7:662:350:297:153:0.7452,3,38:2:545:452:32:26;40:7:662:350:297:153;42:7:320:402:43:65,38,SAFE,inf
476,0,4,2:511:447:18:17:0.2347;2:545:452:32:26:0.7841;7:320:402:42:64:0.3783;7:665:348:294:156:0.7575,3,38:2:545:452:32:26;40:7:665:348:294:156;42:7:320:402:42:64,38,SAFE,39.701
477,0,4,2:510:447:21:17:0.2332;2:546:452:31:25:0.7891;7:320:401:41:65:0.5181;7:668:348:291:156:0.7384,3,38:2:546:452:31:25;40:7:668:348:291:156;42:7:320:401:41:65,38,SAFE,inf
478,0,5,2:511:447:19:16:0.2537;2:546:452:31:25:0.8057;7:320:401:41:65:0.4621;7:360:440:32:25:0.2212;7:669:347:290:156:0.7025,3,38:2:546:452:31:25;40:7:669:347:290:156;42:7:320:401:41:65,38,SAFE,inf
479,0,5,2:510:446:21:18:0.2350;2:546:452:32:25:0.7670;7:320:402:39:64:0.2568;7:359:439:30:27:0.3667;7:670:348:289:157:0.5985,3,38:2:546:452:32:25;40:7:670:348:289:157;42:7:320:402:39:64,38,SAFE,inf
480,0,5,2:511:447:19:16:0.3208;2:547:452:31:25:0.7780;7:320:402:39:64:0.3956;7:358:440:30:24:0.2378;7:674:345:285:161:0.7070,3,38:2:547:452:31:25;40:7:674:345:285:161;42:7:320:402:39:64,38,SAFE,inf
481,0,4,2:511:447:19:16:0.3227;2:548:452:30:25:0.7961;7:320:402:38:63:0.3664;7:677:345:282:159:0.5911,3,38:2:548:452:30:25;40:7:677:345:282:159;42:7:320:402:38:63,38,SAFE,inf
482,0,5,2:512:447:18:16:0.3010;2:548:452:31:24:0.8112;7:320:401:37:65:0.5091;7:357:441:30:23:0.2367;7:679:342:280:162:0.5887,4,38:2:548:452:31:24;40:7:679:342:280:162;42:7:320:401:37:65;43:2:512:447:18:16,38,SAFE,inf
