frame,time_sec,rank,best_class_id,best_class_name,best_score,second_class_id,second_class_name,second_score,third_class_id,third_class_name,third_score,car_score,bus_score,train_score,truck_score,boat_score,left,top,width,height,right,bottom,touches_right_edge,passes_confidence_010,passes_target_class,passes_final_filter
547,18.218,13,4,airplane,0.002761,8,boat,0.001164,37,surfboard,0.000783,0.000019,0.000034,0.000020,0.000046,0.001164,1170,385,109,29,1279,414,1,0,0,0
547,18.218,14,4,airplane,0.002511,33,kite,0.001154,8,boat,0.000789,0.000015,0.000070,0.000026,0.000044,0.000789,1182,385,97,26,1279,411,1,0,0,0
547,18.218,15,8,boat,0.002448,33,kite,0.000566,4,airplane,0.000518,0.000452,0.000013,0.000043,0.000065,0.002448,1065,571,115,33,1180,604,0,0,0,0
547,18.218,16,4,airplane,0.002412,33,kite,0.000827,8,boat,0.000597,0.000064,0.000024,0.000188,0.000044,0.000597,1098,384,181,33,1279,417,1,0,0,0
547,18.218,17,8,boat,0.001707,4,airplane,0.000159,33,kite,0.000136,0.000034,0.000011,0.000019,0.000027,0.001707,1063,474,119,123,1182,597,0,0,0,0
547,18.218,18,4,airplane,0.001585,33,kite,0.000570,8,boat,0.000417,0.000047,0.000013,0.000103,0.000024,0.000417,1120,383,159,32,1279,415,1,0,0,0
547,18.218,19,8,boat,0.001379,2,car,0.000138,4,airplane,0.000129,0.000138,0.000007,0.000016,0.000040,0.001379,1064,561,114,33,1178,594,0,0,0,0
547,18.218,20,4,airplane,0.001269,33,kite,0.000435,8,boat,0.000263,0.000063,0.000013,0.000065,0.000029,0.000263,1127,382,152,32,1279,414,1,0,0,0
548,18.252,1,4,airplane,0.006337,25,umbrella,0.002006,33,kite,0.001503,0.000023,0.000098,0.000067,0.000062,0.001006,1137,387,142,25,1279,412,1,0,0,0
548,18.252,2,6,train,0.005116,4,airplane,0.000228,8,boat,0.000085,0.000048,0.000074,0.005116,0.000064,0.000085,11,394,1063,82,1074,476,0,0,0,0
548,18.252,3,4,airplane,0.004196,25,umbrella,0.001221,8,boat,0.001198,0.000167,0.000067,0.000401,0.000105,0.001198,1120,387,159,31,1279,418,1,0,0,0
548,18.252,4,4,airplane,0.003807,25,umbrella,0.003205,8,boat,0.001415,0.000291,0.000060,0.000213,0.000086,0.001415,1128,384,151,31,1279,415,1,0,0,0
